edrpou_hosp,legal_entity_lat,legal_entity_lng
01998710,45.667222,28.61278
01998762,45.433045,29.27856
01998785,48.097462,29.12259
01998803,47.7388,29.55865
01998845,46.22229827,30.43462967
01998851,46.86191219,30.0741561
01998868,45.456976,28.27027
01998874,48.133524,30.08452
01998880,46.02339961,29.65781809
01998905,46.184562,29.14503
01998911,45.84096518,29.6080561
01998928,47.331036,29.7545
01998934,47.387847,30.19111
01998957,46.477003,30.73816
01998986,46.460923,30.67864
01999023,46.49454231,30.72262842
01999052,46.443953,30.70986
02007650,46.333575,29.97933
02008342,46.496005,30.69112
02774415,46.489301,30.69336
02774438,46.582868,30.78284
02774674,"46,477612","30,743669"
02775107,46.82811043,30.94398392
02775123,46.979008,30.46436
05446384,46.39595,30.74786
05446427,46.482111,30.72104
08199969,46.464149,30.752271
21001593,46.483511,30.734745
21008313,46.4330788,30.7409294
24765919,46.479885,30.701365
26418688,45.35019439,28.85019191
26470275,"46,583333","30,805312"
26472082,46.485846,"30,731109"
30514886,"46,472839","30,733343"
32120543,"46,539130","30,741564"
38096553,"46,980319","30,468541"
38156360,46.4800631,30.7013815
38534606,"45,840954","29,608059"
38574041,46.405646000000004,30.722237699999997
38822156,"47,200015","30,897237"
39040240,"46,573052","30,796997"
42483376,"45,350065","28,835124"
42489785,45.352211,28.8373028
02004002,46.709863,34.54979
26083704,46.67900119,32.5878743
01111581,49.581342,34.59211
01999218,50.37458653,33.9809153
01999265,49.81466281,34.54308149
01999276,50.206345,34.35155
01999359,50.358296,33.28219618
01999388,50.00215749,32.99182739
01999394,49.442981,34.8711
01999402,49.98261523,33.59449319
01999425,49.34119213,34.30558741
01999514,49.77958659,33.27109488
01999626,49.01394647,33.63879779
01999661,49.57635,34.56483502
05385571,49.09185901,33.44059298
41318879,49.09433272,33.44075151
01999796,51.33359861,26.59212881
01999810,51.00528468,26.7574302
01999833,50.36518762,26.51330349
01999842,51.26500143,27.2245744
01999891,50.42423431,25.32976742
01999907,50.89236498,26.44249857
02000010,50.61350098,26.2902935
02000085,50.60431668,26.26630798
02000105,50.51988079,26.23264842
02000270,50.6224045,27.15096621
02010422,50.331668,26.50718
33992414,51.33749057,25.848192
37624798,50.41084299,25.71754683
38407717,"50,875384","26,457147"
01110854,51.227546,33.12268
01981477,50.75455989,33.47570602
01981508,50.47475062,34.92207459
01981514,51.87168998,33.46730997
02000300,50.92720021,34.78700439
02000317,50.889946,34.83085
02000323,50.916084,34.81636
02000334,50.919531,34.8162
02000381,51.09754,34.14125
02007489,51.1448146,34.32794447
02007495,51.20617787,33.86144031
02007532,51.238955,33.20017397
02007549,51.53926059,33.36500398
02007555,50.664041,34.41237
05480996,50.727412,32.39126
08733899,50.902953,34.79602
14011007,50.89623079,34.77690022
02000435,49.44720029,24.93098209
02000493,48.80508462,26.05465852
02000530,48.981964,25.36901
02000547,49.06062318,25.41825837
02000582,49.073147,26.18317313
02000613,49.119671,25.89014
02000659,48.64760281,25.73102811
02000702,49.66119041,25.78969721
02000748,49.6659965,25.138935
02000754,49.804966,25.3852
02000783,49.425417,25.17596
02000792,49.43057362,25.15808268
02000866,50.00125678,25.50944057
02000984,49.53662987,26.14385021
02001015,49.29563349,25.68930718
02001185,49.01599939,25.78993632
02001216,50.11815292,26.11978698
02001274,49.554008,25.6408
02001297,49.5490157,25.59999773
02001311,49.554696,25.6121
02001328,49.522199,25.61451
02001334,49.551875,25.55502
04528442,49.55371939,25.61417798
05497361,49.553223,25.64682
35492401,49.554383200000004,25.589894100000002
36338715,49.09136019,25.17124159
38288860,"49,090474","25,167934"
42588170,49.523789,25.7547973
43188153,50.11615882,25.69389391
02002380,49.83014649,36.69464201
02002670,48.853729,36.55246
02002701,49.3739091,35.44257878
02002718,50.0714592,35.1625493
02002859,49.83710862,35.62829629
02002990,50.284994,36.94862
02003178,49.687647,36.33417
02003563,49.963984,36.28443
02003652,49.94351021,36.32229562
02003793,49.44354969,36.8178892
02003899,50.163592,35.52624
07931813,50.010781,36.23662
40199749,49.21832417,36.5601287
02003913,46.82954257,33.40017278
02003971,46.17763248,34.81820413
02004025,46.81734538,33.4896326
02004108,46.75641863,33.35732038
02004172,50.01001218,26.4381532
02004189,49.03244747,27.2308414
02004195,49.53626722,26.2143861
02004216,49.16368502,26.578231
02004226,49.27134858,27.42248123
02004255,48.88491623,26.86209752
02004309,50.11560441,26.8083756
02004350,49.662007,26.99176
02004380,48.83668633,27.2723153
02004404,50.12016292,27.48803682
02004410,50.29236391,26.86857041
02004479,49.75862803,27.19935519
02004491,49.8431125,26.41146431
02004522,49.00733888,26.34722011
02004574,49.146071,26.86595
02004717,49.412023,27.00373
02004752,49.41200302,26.97605472
02004806,48.684526,26.58473229
02004812,50.18365268,27.04879132
02004829,48.67217192,26.6059099
08734575,49.425797,26.97063
38195551,"49,010903","26,340324"
38418088,"49,654220","26,978089"
40365451,50.3393963,26.656040899999997
40888750,"49,406808","26,985163"
02004841,49.200097,31.87885
02004953,49.41898679,32.0927181
02004976,49.41356639,32.05502091
02005026,49.226689,31.90712
02005036,48.75954908,30.22151382
02005266,49.6748,32.3096
02005289,49.076455,32.66313
02005303,49.671138,32.04346
02005310,49.732637,31.33241
02005326,49.752291,31.45659
02005378,49.241251,30.11253
02005384,49.090165,30.95325
02005390,48.979886,29.80533
02005409,49.252995,31.95804
02005415,49.256846,30.8234
02005421,48.966235,30.34849
02005467,48.634686,30.20788
02005484,49.380069,32.15606
02005585,49.464731,32.01348
02005639,49.46443,32.0133
03077871,49.466287,32.00627
05503705,49.413493,32.055
21368619,49.5237551,31.7450343
01110972,48.26453148,25.9247431
02005674,48.46233377,26.8302322
02005680,48.4311795,25.7611107
02005697,48.24695,25.19132
02005705,48.08985318,25.92882492
02005711,48.523354,25.8402
02005763,48.274272,25.94418
02005778,48.351342,25.95827
02005832,48.22158119,26.27189161
02005846,48.128539,25.49462
02005852,48.45217098,27.40707898
02005869,48.162699,25.7196571
02005875,48.50633509,26.49970738
05481412,48.281559,25.94031
07910219,48.279096,25.931956
08734606,48.26357,25.92618
41025351,48.1528158,26.2552239
43288621,48.2792882,25.94323861
43288841,48.2656166,25.9442857
43291042,48.29207867,25.93583673
43334908,48.2623095,25.925881399999998
43343870,48.25928820000001,25.92667
14233274,51.51722181,31.30957559
34549336,50.59797349,32.35102648
38073028,50.935694,31.575432
34002938,"50,472755","30,468493"
02000903,49.86074599,26.09860857
26479164,50.2817304,28.6109701
01994184,49.692938,30.48147
24880520,49.8026899,30.122919899999996
01999336,50.0771,34.74454
08733966,49.583727,34.52075
02003570,50.023731,36.24111
01991139,48.850035,37.59816
01991547,50.00115529,29.02961791
40475812,50.9496402,28.6233127
01995154,48.10617692,32.77844848
01995249,48.31005081,31.53512768
08733937,48.509152,32.22312
37324478,48.788179,31.64951
01983559,49.52965439,38.73299678
01999106,49.579855,34.55137
02000234,51.824874,26.12042281
01983944,48.487057,34.94973
01984636,48.465589,35.01566
14280931,"48,431619","35,001211"
01983594,49.53413659,39.12041951
41160010,"49,519317","23,204082"
14303264,"46,980932","32,022465"
05519480,50.895576,34.7778
43342788,48.2845326,25.973487699999996
40887956,"49,425988","26,984644"
01989585,48.95548283,34.46391052
01995309,48.332945,30.23436
01997297,49.440476,23.00106
20765006,49.5710051,22.7906719
02000263,50.12438213,25.25162461
01987416,48.349332,36.40736
05480826,47.056922,37.493188
01992825,48.625642,22.29323
02000961,49.428648,25.98194
08734581,49.471464,32.00433
42078561,50.76148722,25.380111
01983654,48.639822,38.39938
01983720,49.90638991,38.29376822
01111032,50.611702,26.22248
20003340,50.92019827,34.81632437
02003729,49.999254,36.2412
39183149,49.2365609,28.4134997
05408332,50.488983,31.77846
01998727,47.095804,29.84484
38502841,"49,586504","34,531841"
32329995,49.71836691,37.60664301
02003988,46.534796,32.53868
04542985,48.56802889,39.3103837
25637595,50.454853,30.620757
01994215,49.55799089,30.49933149
01982672,48.67485842,28.84152629
37734221,"48,636928","35,2532245"
02000441,49.268152,25.13073
05498708,47.846618,35.11192
01999201,49.789852,33.72272
35814781,"49,714955","28,831000"
01997030,49.143081,23.06324
01999307,49.15295551,34.18246822
01999804,51.424379,26.13496
05481091,49.4284241,26.9871445
37261811,49.06053621,28.12012177
01111227,48.720572,32.6574
01993842,50.412381,30.54317
01982726,48.24768588,28.27857281
01992877,46.8711157,35.3945886
20761112,49.831210799999994,23.9912083
38558716,"50,495630","24,758800"
38381474,49.969264,33.606330
36331552,48.55301503,28.5141118
37906491,"48,5189624","34,6123617"
01999678,49.567241,34.52431
02005355,49.289138,31.4477
01983789,48.954275,38.48095
22689195,49.9427564,36.3647037
01993032,46.70702148,35.1680849
05498660,47.884289,35.16853
02000168,50.7388607,26.04069969
02007517,51.67167691,33.92044903
05498694,47.876481,35.05407
01993747,50.426387,30.44938
01204360,49.578997,34.54585
01999939,50.61026619,26.25703743
01994698,50.45732618,29.81265511
02003534,49.94351021,36.32229562
05484161,49.235033,28.42935
01994921,48.50224,32.27681
01995077,48.665929,33.07493
01997461,49.510543,23.19781
02001305,49.55133,25.64205
01983814,46.63849,32.6168
01982815,50.728426,25.30113
01994617,49.81164847,30.07945028
05493838,48.67595503,33.12327302
01999684,50.049985,32.46951
38044086,"48,646072","25,731614"
01989881,47.050308,37.29794
01999224,49.373585,33.27737
01999494,49.607818,33.18303
36897937,50.876991,34.814305299999994
